Kanji,Kana,Romaji,Ý nghĩa
警察,けいさつ,keisatsu,Cảnh sát
数える,かぞえる,kazoeru,"Đếm, tính"
携帯,けいたい,keitai,"Sự đem theo, sự mang theo"
鳴る,なる,naru,"Reo, kêu"
慣れる,なれる,nareru,"Quen với, thường"
渡る,わたる,wataru,"Băng qua, đi qua"
パイナップル,パイナップル,painappuru,Quả dứa
痒い,かゆい,kayui,"Ngứa, ngứa ngáy"
交差点,こうさてん,kousaten,"Ngã tư, giao lộ"
タマネギ,タマネギ,tamanegi,"Củ hành, hành tây"
涙,なみだ,namida,Nước mắt
拾う,ひろう,hirou,"Nhặt, nhặt lên"
自由,じゆう,jiyuu,Tự do
空,そら,sora,"Trời, bầu trời"
飛ぶ,とぶ,tobu,Bay
注意する,ちゅういする,chuuisuru,"Chú ý, cẩn thận"
保険証,ほけんしょう,hokenshou,Thẻ bảo hiểm
生まれる,うまれる,umareru,"Sinh ra, được sinh ra"
政治,せいじ,seiji,Chính trị
感じ,かんじ,kanji,"Sự cảm thấy, cảm nhận"
建物,たてもの,tatemono,Tòa nhà
泊まる,とまる,tomaru,"Trọ lại, ở lại"
ノーベル賞,ノーベルしょう,nouberushou,Giải Nobel
お祈り,おいのり,oinori,Lời cầu nguyện
機械,きかい,kikai,Máy móc
簡単,かんたん,kantan,"Đơn giản, dễ dàng"
触る,さわる,sawaru,"Sờ, chạm"
歯医者,はいしゃ,haisha,Nha sĩ
デザイン,デザイン,dezain,Sự thiết kế
気を付ける,きをつける,Kiwotsukeru,"Chú ý, cẩn thận"
角,かど,kado,Góc
動く,うごく,ugoku,Hoạt động
負ける,まける,makeru,"Thua, bại"
摘み,つまみ,tsumami,Núm vặn
音,おと,oto,"Âm thanh, tiếng động"
お釣り,おつり,otsuri,"Tiền thừa, tiền được trả lại 
khi đi mua hàng"
